display,trial_num,block_trial_num,group,encoding_block,randomise_blocks,randomise_trials,test_question.arms_cook,test_question.musi_cook,test_question.gems_cook,test_question.arms_cars,test_question.musi_cars,test_question.gems_cars,test_question.arms_dino,test_question.musi_dino,test_question.gems_dino,test_answer.arms_cook,test_answer.musi_cook,test_answer.gems_cook,test_answer.arms_cars,test_answer.musi_cars,test_answer.gems_cars,test_answer.arms_dino,test_answer.musi_dino,test_answer.gems_dino
test,6,2,nonacademic,early,5,2,From which part of Italy does the Bagna Cauda sauce originate?,From which part of Italy does the Bagna Cauda sauce originate?,From which part of Italy does the Bagna Cauda sauce originate?,What compound is added as antifreeze to water in engine cooling systems?,What compound is added as antifreeze to water in engine cooling systems?,What compound is added as antifreeze to water in engine cooling systems?,Song Dynasty scientist Shen Kuo formed a theory of climate change by observing fossilized specimens of what plant?,Song Dynasty scientist Shen Kuo formed a theory of climate change by observing fossilized specimens of what plant?,Song Dynasty scientist Shen Kuo formed a theory of climate change by observing fossilized specimens of what plant?,Piedmont,Piedmont,Piedmont,ethylene glycol,ethylene glycol,ethylene glycol,bamboo,bamboo,bamboo
test,7,3,academic,early,5,1,What extremely long pike was used by the infantry of Alexander the Great?,What trapezoidal ancestor of the piano was also played by hammering on strings of various lengths?,What well-known gemstone has a tetragonal system?,What extremely long pike was used by the infantry of Alexander the Great?,What trapezoidal ancestor of the piano was also played by hammering on strings of various lengths?,What well-known gemstone has a tetragonal system?,What extremely long pike was used by the infantry of Alexander the Great?,What trapezoidal ancestor of the piano was also played by hammering on strings of various lengths?,What well-known gemstone has a tetragonal system?,sarissa,dulcimer,zircon,sarissa,dulcimer,zircon,sarissa,dulcimer,zircon
test,7,4,nonacademic,early,5,2,What cooking technique cooks a food dish in a secondary pan of warm water?,What cooking technique cooks a food dish in a secondary pan of warm water?,What cooking technique cooks a food dish in a secondary pan of warm water?,"What complicated valve design was used in mid-20th century automobiles and planes, such as the WWII Hawker Typhoon?","What complicated valve design was used in mid-20th century automobiles and planes, such as the WWII Hawker Typhoon?","What complicated valve design was used in mid-20th century automobiles and planes, such as the WWII Hawker Typhoon?",Which geologic time period was named by Friedrich August von Alberti for rock layers in Germany?,Which geologic time period was named by Friedrich August von Alberti for rock layers in Germany?,Which geologic time period was named by Friedrich August von Alberti for rock layers in Germany?,bain marie,bain marie,bain marie,sleeve valve,sleeve valve,sleeve valve,Triassic,Triassic,Triassic
test,8,5,academic,early,5,1,What ancient European tribe was named for the characteristic knife wielded by its warriors?,What family of musical instruments has strings the same length as the instrument's sound box?,The hexagonal crystal system and what other crystal system have axes that meet at 120-degree angles?,What ancient European tribe was named for the characteristic knife wielded by its warriors?,What family of musical instruments has strings the same length as the instrument's sound box?,The hexagonal crystal system and what other crystal system have axes that meet at 120-degree angles?,What ancient European tribe was named for the characteristic knife wielded by its warriors?,What family of musical instruments has strings the same length as the instrument's sound box?,The hexagonal crystal system and what other crystal system have axes that meet at 120-degree angles?,Saxons,zither,trigonal,Saxons,zither,trigonal,Saxons,zither,trigonal
test,8,1,nonacademic,early,6,2,What knife technique involves rolling up leafy greens and slicing them into thin strips?,What knife technique involves rolling up leafy greens and slicing them into thin strips?,What knife technique involves rolling up leafy greens and slicing them into thin strips?,What is the maximum rpm value of an engine called?,What is the maximum rpm value of an engine called?,What is the maximum rpm value of an engine called?,The Jurassic period was named after limestone mountains in which country?,The Jurassic period was named after limestone mountains in which country?,The Jurassic period was named after limestone mountains in which country?,chiffonade,chiffonade,chiffonade,redline,redline,redline,Switzerland,Switzerland,Switzerland
test,9,2,academic,early,6,1,What highly flammable liquid is believed to have been the key ingredient in Greek fire?,The body of an Andean charango was traditionally made from what material?,What is the seventh and simplest crystal system?,What highly flammable liquid is believed to have been the key ingredient in Greek fire?,The body of an Andean charango was traditionally made from what material?,What is the seventh and simplest crystal system?,What highly flammable liquid is believed to have been the key ingredient in Greek fire?,The body of an Andean charango was traditionally made from what material?,What is the seventh and simplest crystal system?,naphtha,armadillo,cubic,naphtha,armadillo,cubic,naphtha,armadillo,cubic
test,9,3,nonacademic,early,6,2,What clarified meat or fish broth is prepared by cooking broth with egg whites?,What clarified meat or fish broth is prepared by cooking broth with egg whites?,What clarified meat or fish broth is prepared by cooking broth with egg whites?,What gear tooth shape is most common on automotive gears?,What gear tooth shape is most common on automotive gears?,What gear tooth shape is most common on automotive gears?,The Cretaceous period gets its name from what type of rock dating from that time?,The Cretaceous period gets its name from what type of rock dating from that time?,The Cretaceous period gets its name from what type of rock dating from that time?,consomme,consomme,consomme,involute,involute,involute,chalk,chalk,chalk
test,10,4,academic,early,6,1,What weapon is credited with enabling the rise of the Han Dynasty in ancient China?,"What North Indian fiddle-like instrument is fingered not with the fingertips, but with the cuticles against the strings?",What hardness scale measures the quantitative hardness of a stone?,What weapon is credited with enabling the rise of the Han Dynasty in ancient China?,"What North Indian fiddle-like instrument is fingered not with the fingertips, but with the cuticles against the strings?",What hardness scale measures the quantitative hardness of a stone?,What weapon is credited with enabling the rise of the Han Dynasty in ancient China?,"What North Indian fiddle-like instrument is fingered not with the fingertips, but with the cuticles against the strings?",What hardness scale measures the quantitative hardness of a stone?,crossbow,sarangi,Knoop scale,crossbow,sarangi,Knoop scale,crossbow,sarangi,Knoop scale
test,10,5,nonacademic,early,6,2,"What Spanish dish comprises fish that's cooked, marinated in spicy and sour sauce, and served cold?","What Spanish dish comprises fish that's cooked, marinated in spicy and sour sauce, and served cold?","What Spanish dish comprises fish that's cooked, marinated in spicy and sour sauce, and served cold?",What part reduces grinding noises while shifting a manual transmission car?,What part reduces grinding noises while shifting a manual transmission car?,What part reduces grinding noises while shifting a manual transmission car?,What term describes the first documented example of a new species of organism?,What term describes the first documented example of a new species of organism?,What term describes the first documented example of a new species of organism?,escabeche,escabeche,escabeche,synchro,synchro,synchro,holotype,holotype,holotype
test,26,1,academic,late,7,3,What sword did Japanese samurai use to perform ritual suicide?,What huge 1900s electric instrument was once housed in the basement of the New York Metropolitan Opera House?,"Most ""turquoise"" sold today is a dyed version of what other gemstone?",What sword did Japanese samurai use to perform ritual suicide?,What huge 1900s electric instrument was once housed in the basement of the New York Metropolitan Opera House?,"Most ""turquoise"" sold today is a dyed version of what other gemstone?",What sword did Japanese samurai use to perform ritual suicide?,What huge 1900s electric instrument was once housed in the basement of the New York Metropolitan Opera House?,"Most ""turquoise"" sold today is a dyed version of what other gemstone?",wakazashi,telharmonium,howlite,wakazashi,telharmonium,howlite,wakazashi,telharmonium,howlite
test,26,2,nonacademic,late,7,4,The taste of celeriac can be described as a cross between celery and which herb?,The taste of celeriac can be described as a cross between celery and which herb?,The taste of celeriac can be described as a cross between celery and which herb?,"What process leaks chemicals from car parts and releases ""new car smell""?","What process leaks chemicals from car parts and releases ""new car smell""?","What process leaks chemicals from car parts and releases ""new car smell""?","Struthiosaurus belonged to which dinosaur family closely related to ankylosaurs, but lacking a club at the end of the tail?","Struthiosaurus belonged to which dinosaur family closely related to ankylosaurs, but lacking a club at the end of the tail?","Struthiosaurus belonged to which dinosaur family closely related to ankylosaurs, but lacking a club at the end of the tail?",parsley,parsley,parsley,outgassing,outgassing,outgassing,nodosaurs,nodosaurs,nodosaurs
test,27,3,academic,late,7,3,What were the ornamental hilt guards of Japanese katana and wakazashi called?,What is the key sound-generating component of a traditional Hammond organ?,"What term describes the ""bottom"" section of a cut gem?",What were the ornamental hilt guards of Japanese katana and wakazashi called?,What is the key sound-generating component of a traditional Hammond organ?,"What term describes the ""bottom"" section of a cut gem?",What were the ornamental hilt guards of Japanese katana and wakazashi called?,What is the key sound-generating component of a traditional Hammond organ?,"What term describes the ""bottom"" section of a cut gem?",tsuba,tonewheel,pavilion,tsuba,tonewheel,pavilion,tsuba,tonewheel,pavilion
test,27,4,nonacademic,late,7,4,"What Italian rice is less common than arborio rice, but makes higher quality risotto?","What Italian rice is less common than arborio rice, but makes higher quality risotto?","What Italian rice is less common than arborio rice, but makes higher quality risotto?",What control system does modern cruise control use to regulate speed?,What control system does modern cruise control use to regulate speed?,What control system does modern cruise control use to regulate speed?,"Triceratops may not have been its own species, but instead the ""teenage"" form of which other dinosaur species?","Triceratops may not have been its own species, but instead the ""teenage"" form of which other dinosaur species?","Triceratops may not have been its own species, but instead the ""teenage"" form of which other dinosaur species?",carnaroli,carnaroli,carnaroli,PID,PID,PID,Torosaurus,Torosaurus,Torosaurus
test,28,5,academic,late,7,3,What blackened copper-gold alloy did Edo period Japanese blacksmiths use for high-quality tsuba?,What acronym was proposed for the digital music standard now known as MIDI?,Most gem cuts can be classified as either brilliant cut or what rectangular cut?,What blackened copper-gold alloy did Edo period Japanese blacksmiths use for high-quality tsuba?,What acronym was proposed for the digital music standard now known as MIDI?,Most gem cuts can be classified as either brilliant cut or what rectangular cut?,What blackened copper-gold alloy did Edo period Japanese blacksmiths use for high-quality tsuba?,What acronym was proposed for the digital music standard now known as MIDI?,Most gem cuts can be classified as either brilliant cut or what rectangular cut?,shakudo,UMI,step cut,shakudo,UMI,step cut,shakudo,UMI,step cut
test,28,1,nonacademic,late,8,4,Sweetbreads are harvested from an animal's pancreas and which other gland?,Sweetbreads are harvested from an animal's pancreas and which other gland?,Sweetbreads are harvested from an animal's pancreas and which other gland?,The octane rating of gasoline measures its performance as a ratio of octane to what other chemical?,The octane rating of gasoline measures its performance as a ratio of octane to what other chemical?,The octane rating of gasoline measures its performance as a ratio of octane to what other chemical?,Quill knobs found on its forearm bones provide evidence that what dinosaur had feathers?,Quill knobs found on its forearm bones provide evidence that what dinosaur had feathers?,Quill knobs found on its forearm bones provide evidence that what dinosaur had feathers?,thymus,thymus,thymus,heptane,heptane,heptane,Velociraptor,Velociraptor,Velociraptor
test,29,2,academic,late,8,3,What is the ornamental face mask that attaches to a Japanese samurai helmet?,What musical instrument was developed to send coded messages during World War II?,What special magnifying device is used to inspect gems?,What is the ornamental face mask that attaches to a Japanese samurai helmet?,What musical instrument was developed to send coded messages during World War II?,What special magnifying device is used to inspect gems?,What is the ornamental face mask that attaches to a Japanese samurai helmet?,What musical instrument was developed to send coded messages during World War II?,What special magnifying device is used to inspect gems?,men-yoroi,vocoder,loupe,men-yoroi,vocoder,loupe,men-yoroi,vocoder,loupe
test,29,3,nonacademic,late,8,4,Tempura frying was introduced to Japan by missionaries from which country?,Tempura frying was introduced to Japan by missionaries from which country?,Tempura frying was introduced to Japan by missionaries from which country?,What toxic gasoline additive was common in the US from the 1920s until its ban in 1986?,What toxic gasoline additive was common in the US from the 1920s until its ban in 1986?,What toxic gasoline additive was common in the US from the 1920s until its ban in 1986?,Pterosaurs were most likely covered with what filaments somewhat similar both to feathers and to hair?,Pterosaurs were most likely covered with what filaments somewhat similar both to feathers and to hair?,Pterosaurs were most likely covered with what filaments somewhat similar both to feathers and to hair?,Portugal,Portugal,Portugal,tetraethyl lead,tetraethyl lead,tetraethyl lead,pycnofibers,pycnofibers,pycnofibers
test,30,4,academic,late,8,3,"What large hairpin, used by samurai to put their hair in a bun, was stored in the katana scabbard when not in use?",The Japanese Otamatone synthesizer is partially named for its resemblance to what creature?,What is the international standard strength of magnification used for visually grading the clarity of diamonds?,"What large hairpin, used by samurai to put their hair in a bun, was stored in the katana scabbard when not in use?",The Japanese Otamatone synthesizer is partially named for its resemblance to what creature?,What is the international standard strength of magnification used for visually grading the clarity of diamonds?,"What large hairpin, used by samurai to put their hair in a bun, was stored in the katana scabbard when not in use?",The Japanese Otamatone synthesizer is partially named for its resemblance to what creature?,What is the international standard strength of magnification used for visually grading the clarity of diamonds?,kogai,tadpole,10,kogai,tadpole,10,kogai,tadpole,10
test,30,5,nonacademic,late,8,4,"What French vegetable mix of chopped onions, carrots, and celery is sauteed in butter before being added to soups, stews, or braises?","What French vegetable mix of chopped onions, carrots, and celery is sauteed in butter before being added to soups, stews, or braises?","What French vegetable mix of chopped onions, carrots, and celery is sauteed in butter before being added to soups, stews, or braises?",Rickenbacker Motors was the first car manufacturer to offer what now-common feature in 1922?,Rickenbacker Motors was the first car manufacturer to offer what now-common feature in 1922?,Rickenbacker Motors was the first car manufacturer to offer what now-common feature in 1922?,In what US state have the only known fossil fragments of Quetzalcoatlus been found?,In what US state have the only known fossil fragments of Quetzalcoatlus been found?,In what US state have the only known fossil fragments of Quetzalcoatlus been found?,mirepoix,mirepoix,mirepoix,four-wheel brakes,four-wheel brakes,four-wheel brakes,Texas,Texas,Texas
test,11,1,academic,early,9,1,Some Roman-era ancient Egyptians used the skin of which reptile as ceremonial armor?,"What 14-stringed Baroque relative of the lute, measuring up to 1.8 m long, had distinct re-entrant tuning?","What type of igneous rock, formed near pockets of water in the earth's mantle, is known for yielding particularly large crystals?",Some Roman-era ancient Egyptians used the skin of which reptile as ceremonial armor?,"What 14-stringed Baroque relative of the lute, measuring up to 1.8 m long, had distinct re-entrant tuning?","What type of igneous rock, formed near pockets of water in the earth's mantle, is known for yielding particularly large crystals?",Some Roman-era ancient Egyptians used the skin of which reptile as ceremonial armor?,"What 14-stringed Baroque relative of the lute, measuring up to 1.8 m long, had distinct re-entrant tuning?","What type of igneous rock, formed near pockets of water in the earth's mantle, is known for yielding particularly large crystals?",crocodile,theorbo,pegmatite,crocodile,theorbo,pegmatite,crocodile,theorbo,pegmatite
test,31,2,academic,late,9,3,"What medieval chain mail collar protected the chin, neck, and shoulders?",What ancient Greek reed instrument is often depicted with a strap holding it to the player's face?,"What gemstone is not one compound, but a ""solid solution"" of magnesium and iron silicates?","What medieval chain mail collar protected the chin, neck, and shoulders?",What ancient Greek reed instrument is often depicted with a strap holding it to the player's face?,"What gemstone is not one compound, but a ""solid solution"" of magnesium and iron silicates?","What medieval chain mail collar protected the chin, neck, and shoulders?",What ancient Greek reed instrument is often depicted with a strap holding it to the player's face?,"What gemstone is not one compound, but a ""solid solution"" of magnesium and iron silicates?",aventail,aulos,peridot,aventail,aulos,peridot,aventail,aulos,peridot
